NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL
Class,Field,Name,Class,Field,Name,Name,Notes
NetworkManager,*,field_1459_t,*,*,*,chunkDataSendCounter,"Counter used to prevent us from sending too many chunk data packets one after another. The delay appears to be set to 50."
ThreadDownloadImage,*,field_1215_b,*,*,*,buffer,"The image buffer to use."
Block,*,field_336_w,*,*,*,dirt,"*"
Block,*,field_334_y,*,*,*,planks,"*"
Block,*,field_335_x,*,*,*,cobblestone,"*"
ItemFood,*,field_332_a,*,*,*,healAmount,"The amount this food item heals the player."
Block,*,field_333_z,*,*,*,sapling,"*"
ItemBlock,*,field_330_a,*,*,*,blockID,"The block ID of the Block associated with this ItemBlock"
ItemBucket,*,field_331_a,*,*,*,isFull,"field for checking if the bucket has been filled."
Item,*,field_306_aD,*,*,*,leather,"*"
Item,*,field_305_aE,*,*,*,bucketMilk,"*"
EntityPlayer,*,field_4128_n,*,*,*,fishEntity,"*"
EntityPlayer,*,field_4129_m,*,*,*,dimension,"Which dimension the player is in (-1 = the Nether, 0 = normal world)"
EntityFallingSand,*,field_798_b,*,*,*,fallTime,"How long the block has been falling for."
EntityFallingSand,*,field_799_a,*,*,*,entityID,"Set from a blockID in the constructor, and used as such."
Item,*,field_4026_aM,*,*,*,minecartPowered,"*"
RenderGlobal,*,field_1442_q,*,*,*,renderChunksTall,""
RenderGlobal,*,field_1443_p,*,*,*,renderChunksWide,""
RenderGlobal,*,field_1446_m,*,*,*,worldRenderersToUpdate,"*"
Item,*,field_246_O,*,*,*,hoeDiamond,"*"
Item,*,field_247_N,*,*,*,hoeSteel,"*"
Item,*,field_244_Q,*,*,*,seeds,"*"
Item,*,field_245_P,*,*,*,hoeGold,"*"
Item,*,field_242_S,*,*,*,bread,"*"
Item,*,field_243_R,*,*,*,wheat,"*"
Item,*,field_240_U,*,*,*,plateLeather,"*"
Item,*,field_241_T,*,*,*,helmetLeather,"*"
RenderGlobal,*,field_1445_n,*,*,*,sortedWorldRenderers,""
Item,*,field_248_M,*,*,*,hoeStone,"*"
Item,*,field_249_L,*,*,*,hoeWood,"*"
EntityItem,*,field_800_b,*,*,*,age,"The age of this EntityItem (used to animate it up and down as well as expire it)"
EntityItem,*,field_801_a,*,*,*,item,"The item stack of this EntityItem."
EntityItem,*,field_802_f,*,*,*,health,"The health of this EntityItem. (For example, damage for tools)"
EntityItem,*,field_805_c,*,*,*,delayBeforeCanPickup,"*"
Item,*,field_4023_aQ,*,*,*,pocketSundial,"*"
RenderEngine,*,field_1605_e,*,*,*,imageData,"Stores the image data for the texture."
RenderEngine,*,field_1606_d,*,*,*,singleIntBuffer,"An IntBuffer storing 1 int used as scratch space in RenderEngine"
RenderEngine,*,field_1607_c,*,*,*,textureNameToImageMap,"A mapping from GL texture names (integers) to BufferedImage instances"
RenderEngine,*,field_1602_h,*,*,*,options,"Reference to the GameSettings object"
RenderEngine,*,field_1603_g,*,*,*,urlToImageDataMap,"A mapping from image URLs to ThreadDownloadImageData instances"
RenderEngine,*,field_1609_a,*,*,*,useMipmaps,"Use mipmaps for all bound textures (unused at present)"
MobSpawnerBase,*,field_4254_c,*,*,*,seasonalForest,"*"
MobSpawnerBase,*,field_4255_b,*,*,*,swampland,"*"
MobSpawnerBase,*,field_4256_a,*,*,*,rainforest,"*"
ModelGhast,*,field_4257_b,*,*,*,tentacles,"*"
MobSpawnerBase,*,field_4250_g,*,*,*,taiga,"*"
MobSpawnerBase,*,field_4251_f,*,*,*,shrubland,"*"
MobSpawnerBase,*,field_4252_e,*,*,*,savanna,"*"
MobSpawnerBase,*,field_4253_d,*,*,*,forest,"*"
ModelGhast,*,field_4258_a,*,*,*,body,"*"
Material,*,field_4259_y,*,*,*,canBurn,"Bool defining if the block can burn or not."
EffectRenderer,*,field_1730_d,*,*,*,rand,"RNG."
WorldRenderer,*,field_1733_y,*,*,*,isWaitingOnOcclusionQuery,"Is this renderer waiting on the result of the occlusion query"
WorldRenderer,*,field_1734_x,*,*,*,isVisible,"Is this renderer visible according to the occlusion query"
WorldRenderer,*,field_1738_u,*,*,*,needsUpdate,"Boolean for whether this renderer needs to be updated or not"
WorldRenderer,*,field_1739_E,*,*,*,isInitialized,""
World,*,field_1048_c,*,*,*,worldTime,"Minecraft time"
World,*,field_1049_b,*,*,*,loadedTileEntityList,"A list of all TileEntities in all currently-loaded chunks"
Item,*,field_4030_aF,*,*,*,brick,"*"
Tessellator,*,field_1511_b,*,*,*,convertQuadsToTriangles,"Boolean used to check whether quads should be drawn as four triangles. Initialized to true and never changed."
Tessellator,*,field_1512_a,*,*,*,instance,"The static instance of the Tessellator."
MusInputStream,*,field_1513_b,*,*,*,codec,"*"
MusInputStream,*,field_1514_a,*,*,*,buffer,"*"
MusInputStream,*,field_1515_d,*,*,*,inputStream,"*"
World,*,field_1040_k,*,*,*,playerEntities,"Array list of players in the world."
ModelBiped,*,field_1280_g,*,*,*,bipedLeftLeg,"*"
ModelBiped,*,field_1281_f,*,*,*,bipedRightLeg,"*"
ModelBiped,*,field_1282_e,*,*,*,bipedLeftArm,"*"
ModelBiped,*,field_1283_d,*,*,*,bipedRightArm,"*"
ModelBiped,*,field_1286_a,*,*,*,bipedHead,"*"
Entity,*,field_9297_aI,*,*,*,isCollidedHorizontally,"True if after a move this entity has collided with something on X- or Z-axis"
Entity,*,field_9296_aJ,*,*,*,isCollidedVertically,"True if after a move this entity has collided with something on Y-axis"
Entity,*,field_9295_aK,*,*,*,isCollided,"True if after a move this entity has collided with something either vertically or horizontally"
Entity,*,field_9294_aL,*,*,*,beenAttacked,"Not actually used by anything. Starts off false but gets set true the first time the entity gets attacked."
Entity,*,field_9292_aO,*,*,*,yOffset,"*"
Entity,*,field_9291_aR,*,*,*,prevDistanceWalkedModified,"The previous ticks distance walked multiplied by 0.6"
Entity,*,field_9290_aS,*,*,*,distanceWalkedModified,"The distance walked multiplied by 0.6"
Entity,*,field_9298_aH,*,*,*,onGround,"*"
Packet8,*,field_9275_a,*,*,*,healthMP,"Variable used for incoming health packets"
NetworkManager,*,field_1468_k,*,*,*,chunkDataPackets,"Linked list of packets with chunk data that are awaiting sending."
NetworkManager,*,field_1469_j,*,*,*,dataPackets,"Linked list of packets awaiting sending."
NetworkManager,*,field_1464_o,*,*,*,readThread,"The thread used for reading."
NetworkManager,*,field_1465_n,*,*,*,writeThread,"The thread used for writing."
NetworkManager,*,field_1466_m,*,*,*,isServerTerminating,"Whether this server is currently terminating. If this is a client, this is always false."
NetworkManager,*,field_1467_l,*,*,*,netHandler,"A reference to the NetHandler object."
NetworkManager,*,field_1460_s,*,*,*,sendQueueByteLength,"The length in bytes of the packets in both send queues (data and chunkData)."
NetworkManager,*,field_1461_r,*,*,*,timeSinceLastRead,"Counter used to detect read timeouts after 1200 failed attempts to read a packet."
NetworkManager,*,field_1462_q,*,*,*,terminationReason,"A String indicating why the network has shutdown."
NetworkManager,*,field_1463_p,*,*,*,isTerminating,"Whether this network manager is currently terminating (and should ignore further errors)."
RecipesIngots,*,field_1198_a,*,*,*,recipeItems,"*"
ChunkLoader,*,field_1199_b,*,*,*,createIfNecessary,"If true, ChunkLoader will create the needed directories and file for a chunk. (true for WorldProvider, WorldProviderHell; false for WorldProviderIso)"
ThreadRunIsoClient,*,field_1197_a,*,*,*,isoCanvas,"*"
NoiseGeneratorPerlin,*,field_1190_c,*,*,*,zCoord,"*"
NoiseGeneratorOctaves,*,field_1192_a,*,*,*,generatorCollection,"Collection of noise generation functions.  Output is combined to produce different octaves of noise."
Block,*,field_408_an,*,*,*,tnt,"*"
Block,*,field_409_am,*,*,*,brick,"*"
Block,*,field_401_B,*,*,*,waterStill,"*"
Block,*,field_402_as,*,*,*,fire,"*"
Block,*,field_403_A,*,*,*,bedrock,"*"
Packet53BlockChange,*,field_493_e,*,*,*,metadata,"Metadata of the block."
Packet53BlockChange,*,field_492_a,*,*,*,xPosition,"Block X position."
Packet53BlockChange,*,field_491_b,*,*,*,yPosition,"Block Y position."
Packet30Entity,*,field_490_c,*,*,*,yPosition,"The Y axis relative movement."
Packet17AddToInventory,*,field_497_a,*,*,*,id,"The item/block ID."
Packet17AddToInventory,*,field_496_b,*,*,*,count,"How many to add to the inventory."
Packet53BlockChange,*,field_495_c,*,*,*,zPosition,"Block Z position."
Packet53BlockChange,*,field_494_d,*,*,*,type,"The new block type for the block."
Packet23VehicleSpawn,*,field_499_b,*,*,*,xPosition,"The X position of the object."
Packet17AddToInventory,*,field_498_c,*,*,*,durability,"The durability of the item, not to be used with blocks."
Item,*,field_303_aG,*,*,*,clay,"*"
Item,*,field_302_aH,*,*,*,reed,"*"
Block,*,field_397_D,*,*,*,lavaStill,"*"
Entity,*,field_654_bc,*,*,*,chunkCoordZ,"*"
Entity,*,field_657_ba,*,*,*,chunkCoordX,"*"
Entity,*,field_656_bb,*,*,*,chunkCoordY,"*"
Item,*,field_309_aA,*,*,*,redstone,"*"
Item,*,field_308_aB,*,*,*,snowball,"*"
Block,*,field_391_ax,*,*,*,oreDiamond,"*"
Block,*,field_393_F,*,*,*,sand,"*"
Item,*,field_279_ah,*,*,*,legsDiamond,"*"
Item,*,field_278_ai,*,*,*,bootsDiamond,"*"
Item,*,field_273_an,*,*,*,flint,"*"
Item,*,field_272_ao,*,*,*,porkRaw,"*"
Item,*,field_270_aq,*,*,*,painting,"*"
Item,*,field_277_aj,*,*,*,helmetGold,"*"
Item,*,field_276_ak,*,*,*,plateGold,"*"
Item,*,field_275_al,*,*,*,legsGold,"*"
Item,*,field_274_am,*,*,*,bootsGold,"*"
Packet52MultiBlockChange,*,field_479_a,*,*,*,xPosition,"Chunk X position."
Packet52MultiBlockChange,*,field_478_b,*,*,*,zPosition,"Chunk Z position."
Packet,*,field_471_a,*,*,*,packetIdToClassMap,"Maps packet id to packet class"
Packet,*,field_470_b,*,*,*,packetClassToIdMap,"Maps packet class to packet id"
Packet59ComplexEntity,*,field_473_b,*,*,*,yPosition,"Entity Y position."
Packet,*,field_472_j,*,*,*,isChunkDataPacket,"Only true for Packet51MapChunk, Packet52MultiBlockChange, Packet53BlockChange and Packet59ComplexEntity. Used to separate them into a different send queue."
Packet59ComplexEntity,*,field_475_e,*,*,*,entityNBT,"An NBT representation of the entity."
Packet59ComplexEntity,*,field_474_a,*,*,*,xPosition,"Entity X position."
Packet59ComplexEntity,*,field_477_c,*,*,*,zPosition,"Entity Z position."
Packet59ComplexEntity,*,field_476_d,*,*,*,entityData,"The entity data. This is a compressed (GZipped) NBT file."
MobSpawnerBase,*,field_4249_h,*,*,*,desert,"*"
MobSpawnerBase,*,field_4248_i,*,*,*,plains,"*"
MobSpawnerBase,*,field_4242_o,*,*,*,topBlock,"The block expected to be on the top of this biome"
MobSpawnerBase,*,field_4241_p,*,*,*,fillerBlock,"The block to fill spots in when not on the top"
MobSpawnerBase,*,field_4247_j,*,*,*,iceDesert,"*"
MobSpawnerBase,*,field_4246_k,*,*,*,tundra,"*"
MobSpawnerBase,*,field_4245_l,*,*,*,hell,"*"
ChunkProviderIso,*,field_901_c,*,*,*,worldObj,"Reference to the World object."
ChunkProviderIso,*,field_900_d,*,*,*,chunkLoader,"The IChunkLoader used by ChunkProviderIso."
ChunkProviderGenerate,*,field_907_p,*,*,*,worldObj,"Reference to the World object."
CraftingRecipe,*,field_1727_c,*,*,*,height,"Height in number of items"
CraftingRecipe,*,field_1726_d,*,*,*,ingredientMap,"Map of ingredient ids"
CraftingRecipe,*,field_1725_e,*,*,*,resultStack,"The resulting stack this recipe produces"
CraftingRecipe,*,field_1724_a,*,*,*,resultId,"Item id of the recipe result"
CraftingRecipe,*,field_1723_b,*,*,*,width,"Width in number of items"
EffectRenderer,*,field_1729_a,*,*,*,worldObj,"Reference to the World object."
World,*,field_1058_B,*,*,*,scheduledTickTreeSet,"*"
Item,*,field_4029_aI,*,*,*,paper,"*"
Item,*,field_4028_aJ,*,*,*,book,"*"
Tessellator,*,field_1506_g,*,*,*,rawBuffer,"Raw integer array."
Item,*,field_4025_aO,*,*,*,compass,"*"
World,*,field_1056_C,*,*,*,scheduledTickSet,"*"
Tessellator,*,field_1502_k,*,*,*,color,"The color (RGBA) value to be used for the following draw call."
Tessellator,*,field_1501_l,*,*,*,hasColor,"Whether the current draw object for this tessellator has color values."
WorldClient,*,field_1052_A,*,*,*,sendQueue,"The packets that need to be sent to the server."
ChatLine,*,field_1297_a,*,*,*,message,"The chat message."
ChatLine,*,field_1296_b,*,*,*,updateCounter,"Counts the number of screen updates."
CraftingInventoryPlayerCB,*,field_1619_b,*,*,*,craftResult,"The crafting result."
CraftingInventoryCB,*,field_1618_c,*,*,*,unusedList,"Currently unused in the code."
EntityList,*,field_1613_c,*,*,*,IDtoClassMapping,"provides a mapping between an entityID and an Entity Class"
EntityList,*,field_1612_d,*,*,*,classToIDMapping,"provides a mapping between en Entity Class and an entity ID"
EntityList,*,field_1611_a,*,*,*,stringToClassMapping,"Provides a mapping between entity classes and a string"
EntityList,*,field_1610_b,*,*,*,classToStringMapping,"Provides a mapping between a string and an entity classes"
ItemStack,*,field_1617_c,*,*,*,itemID,"ID of the item."
ModelRenderer,*,field_1398_m,*,*,*,textureOffsetY,"The Y offset into the texture used for displaying this model"
ItemStack,*,field_1615_a,*,*,*,stackSize,"Size of the stack."
ItemStack,*,field_1614_b,*,*,*,animationsToGo,"Number of animation frames to go when receiving an item (by walking into it, for example)."
ModelRenderer,*,field_1399_l,*,*,*,textureOffsetX,"The X offset into the texture used for displaying this model"
Block,*,field_9248_k,*,*,*,soundClothFootstep,"*"
Block,*,field_9249_j,*,*,*,soundGlassFootstep,"*"
Minecraft,*,field_9244_k,*,*,*,mcCanvas,"*"
Render,*,field_9246_c,*,*,*,shadowSize,""
Block,*,field_9247_l,*,*,*,soundSandFootstep,"*"
Minecraft,*,field_9240_E,*,*,*,frameTimes,""
Minecraft,*,field_9241_z,*,*,*,mcApplet,"*"
Minecraft,*,field_9242_w,*,*,*,unusedModelBiped,"An unused biped model, only ever assigned to."
Minecraft,*,field_9243_r,*,*,*,entityRenderer,"*"
NetworkManager,*,field_1473_f,*,*,*,socketInputStream,"The input stream connected to the socket."
NetworkManager,*,field_1472_g,*,*,*,socketOutputStream,"The output stream connected to the socket."
NetworkManager,*,field_1471_h,*,*,*,isRunning,"Whether the network is currently operational."
NetworkManager,*,field_1470_i,*,*,*,readPackets,"Linked list of packets that have been read and are awaiting processing."
NetworkManager,*,field_1477_b,*,*,*,numReadThreads,"The number of read threads spawned. Not really used on client side."
NetworkManager,*,field_1476_c,*,*,*,numWriteThreads,"The number of write threads spawned. Not really used on client side."
NetworkManager,*,field_1475_d,*,*,*,sendQueueLock,"The object used for synchronization on the send queue."
NetworkManager,*,field_1474_e,*,*,*,networkSocket,"The socket used by this network manager."
EntitySkeleton,*,field_4119_a,*,*,*,defaultHeldItem,"The ItemStack that any Skeleton holds (a bow)."
NetworkManager,*,field_1478_a,*,*,*,threadSyncObject,"Synchronization object used for read and write threads."
NoiseGeneratorPerlin,*,field_1187_b,*,*,*,yCoord,"*"
NoiseGeneratorPerlin,*,field_1189_d,*,*,*,permutations,"*"
NoiseGeneratorPerlin,*,field_1188_a,*,*,*,xCoord,"*"
ItemArmor,*,field_312_aY,*,*,*,damageReduceAmmount,"Holds the ammount of damage that the armor reduce at full durability."
TileEntityRenderer,*,field_1554_a,*,*,*,instance,"The static instance of TileEntityRenderer"
Path,*,field_1556_a,*,*,*,pathPoints,"Contains the points in this path"
RecipeSorter,*,field_1557_a,*,*,*,craftingManager,"*"
Tessellator,*,field_1507_f,*,*,*,floatBuffer,"The same memory as byteBuffer, but referenced as an float buffer."
Packet30Entity,*,field_484_b,*,*,*,xPosition,"The X axis relative movement."
Packet30Entity,*,field_485_a,*,*,*,entityId,"The ID of this entity."
Packet30Entity,*,field_486_g,*,*,*,rotating,"Boolean set to true if the entity is rotating."
Packet30Entity,*,field_487_f,*,*,*,pitch,"The Y axis rotation."
Packet52MultiBlockChange,*,field_480_f,*,*,*,size,"The size of the arrays."
Packet52MultiBlockChange,*,field_481_e,*,*,*,metadataArray,"The metadata for each block changed."
Packet52MultiBlockChange,*,field_482_d,*,*,*,typeArray,"The type for each block change."
Packet52MultiBlockChange,*,field_483_c,*,*,*,coordinateArray,"The coordinates of the blocks to change."
Packet30Entity,*,field_488_e,*,*,*,yaw,"The X axis rotation."
Packet30Entity,*,field_489_d,*,*,*,zPosition,"The Z axis relative movement."
Tessellator,*,field_1505_h,*,*,*,vertexCount,"The number of vertices to be drawn in the next draw call. Reset to 0 between draw calls."
ItemArmor,*,field_314_bb,*,*,*,maxDamageArray,"Holds the 'base' maxDamage that each armorType have."
Entity,*,field_643_aD,*,*,*,height,"How high this entity is considered to be"
ItemRecord,*,field_316_a,*,*,*,recordName,"The name of the record."
ItemArmor,*,field_310_a,*,*,*,armorLevel,"Stores the armor level: 0 is leather, 1 is chain or gold, 2 is steel and 3 is diamond."
ItemArmor,*,field_311_aZ,*,*,*,renderIndex,"Used on RenderPlayer to select the correspondent armor to be rendered on the player: 0 is cloth, 1 is chain, 2 is iron, 3 is diamond and 4 is gold."
Entity,*,field_644_aC,*,*,*,width,"How wide this entity is considered to be"
ItemArmor,*,field_313_aX,*,*,*,armorType,"Stores the armor type: 0 is helmet, 1 is plate, 2 is legs and 3 is boots"
ItemSword,*,field_319_a,*,*,*,weaponDamage,"*"
Tessellator,*,field_1504_i,*,*,*,textureU,"The first coordinate to be used for the texture."
Minecraft,*,field_6315_n,*,*,*,renderEngine,"The RenderEngine instance used by Minecraft"
Tessellator,*,field_1503_j,*,*,*,textureV,"The second coordinate to be used for the texture."
Minecraft,*,field_6314_o,*,*,*,fontRenderer,"The font renderer used for displaying and measuring text."
Minecraft,*,field_6275_Z,*,*,*,minecraftDir,"The working dir (OS specific) for minecraft"
RenderManager,*,field_6501_o,*,*,*,entityRenderMap,"A map of entity classes and the associated renderer."
MobSpawnerBase,*,field_6504_m,*,*,*,biomeName,"*"
TileEntitySpecialRenderer,*,field_6509_a,*,*,*,tileEntityRenderer,"The TileEntityRenderer instance associated with this TileEntitySpecialRenderer"
Item,*,field_268_A,*,*,*,axeDiamond,"*"
Item,*,field_269_ar,*,*,*,appleGold,"*"
Item,*,field_264_C,*,*,*,bowlEmpty,"*"
Item,*,field_265_at,*,*,*,doorWood,"*"
Item,*,field_266_B,*,*,*,stick,"*"
Item,*,field_267_as,*,*,*,sign,"*"
Item,*,field_261_E,*,*,*,swordGold,"*"
Item,*,field_262_au,*,*,*,bucketEmpty,"*"
Item,*,field_263_D,*,*,*,bowlSoup,"*"
Tessellator,*,field_1500_m,*,*,*,hasTexture,"Whether the current draw object for this tessellator has texture coordinates."
BlockLeaves,*,field_463_b,*,*,*,baseIndexInPNG,"The base index in terrain.png corresponding to the fancy version of the leaf texture. This is stored so we can switch the displayed version between fancy and fast graphics (fast is this index + 1)."
BlockSand,*,field_466_a,*,*,*,fallInstantly,"Do blocks fall instantly to where they stop or do they fall over time"
BlockPressurePlate,*,field_467_a,*,*,*,triggerMobType,"The mob type that can trigger this pressure plate."
WorldGenClay,*,field_866_b,*,*,*,numberOfBlocks,"The number of blocks to generate."
WorldGenClay,*,field_867_a,*,*,*,clayBlockId,"The block ID for clay."
Entity,*,field_863_b,*,*,*,nextStepDistance,"The distance that has to be exceeded in order to triger a new step sound and an onEntityWalking event on a block"
Entity,*,field_861_d,*,*,*,minecartType,"The type of minecart, 2 for powered, 1 for storage."
Block,*,field_441_aG,*,*,*,ladder,"*"
EntityLiving,*,field_734_o,*,*,*,prevRenderYawOffset,"*"
ChunkLoader,*,field_1200_a,*,*,*,saveDir,"The root directory from where the chunks are saved (this will be the World1-5 dirs)"
MobSpawnerBase,*,field_4238_s,*,*,*,biomeCreatures,"*"
MobSpawnerBase,*,field_4239_r,*,*,*,biomeMonsters,"*"
MobSpawnerBase,*,field_4237_t,*,*,*,biomeLookupTable,"*"
TextureCompassFX,*,field_4231_g,*,*,*,mc,"A reference to the Minecraft object."
ChunkProviderGenerate,*,field_913_j,*,*,*,rand,"RNG."
Block,*,field_443_aE,*,*,*,signPost,"*"
Block,*,field_444_aD,*,*,*,stoneOvenActive,"*"
ChunkCache,*,field_1061_d,*,*,*,worldObj,"Reference to the World object."
NetworkWriterThread,*,field_1063_a,*,*,*,netManager,"Reference to the NetworkManager object."
PlayerController,*,field_1065_a,*,*,*,mc,"A reference to the Minecraft object."
ModelQuadraped,*,field_1262_h,*,*,*,leg3,"*"
ModelQuadraped,*,field_1263_g,*,*,*,leg2,"*"
ModelQuadraped,*,field_1261_i,*,*,*,leg4,"*"
ModelQuadraped,*,field_1266_d,*,*,*,head,"*"
ModelCow,*,field_1267_b,*,*,*,horn1,"*"
ModelQuadraped,*,field_1264_f,*,*,*,leg1,"*"
ModelQuadraped,*,field_1265_e,*,*,*,body,"*"
Block,*,field_445_aC,*,*,*,stoneOvenIdle,"*"
ModelCow,*,field_1268_a,*,*,*,udders,"*"
ModelCow,*,field_1269_c,*,*,*,horn2,"*"
Block,*,field_446_aB,*,*,*,tilledField,"*"
Session,*,field_1666_b,*,*,*,playerName,"appears to be the player name, determined by the use in the constructor of EntityPlayerSP"
Session,*,field_1667_a,*,*,*,registeredBlocksList,"*"
RecipesTools,*,field_1664_b,*,*,*,recipeItems,"*"
RecipesTools,*,field_1665_a,*,*,*,recipePatterns,"*"
CraftingManager,*,field_1662_b,*,*,*,recipes,"A list of all the recipes added"
SoundPool,*,field_1660_d,*,*,*,nameToSoundPoolEntriesMapping,"Maps a name (can be sound/newsound/streaming/music/newmusic) to a list of SoundPoolEntry's."
SoundPool,*,field_1661_c,*,*,*,rand,"The RNG used by SoundPool."
Block,*,field_9253_f,*,*,*,soundGravelFootstep,"*"
Block,*,field_9252_g,*,*,*,soundGrassFootstep,"*"
Block,*,field_9251_h,*,*,*,soundStoneFootstep,"*"
Block,*,field_9250_i,*,*,*,soundMetalFootstep,"*"
Block,*,field_9254_e,*,*,*,soundWoodFootstep,"*"
ModelRenderer,*,field_1406_e,*,*,*,rotateAngleY,"*"
ModelRenderer,*,field_1407_d,*,*,*,rotateAngleX,"*"
ModelRenderer,*,field_1404_g,*,*,*,mirror,"*"
ModelRenderer,*,field_1405_f,*,*,*,rotateAngleZ,"*"
ModelRenderer,*,field_1400_k,*,*,*,faces,"An array containing the 6 faces of the cube."
ModelRenderer,*,field_1401_j,*,*,*,corners,"An array containing the 8 corners of the cube."
ModelRenderer,*,field_1408_c,*,*,*,offsetZ,"*"
ModelRenderer,*,field_1409_b,*,*,*,offsetY,"*"
Material,*,field_1318_t,*,*,*,builtSnow,"*"
Material,*,field_1319_s,*,*,*,snow,"*"
LogoEffectRandomizer,*,field_1313_d,*,*,*,mainMenu,"A reference to the GuiMainMenu."
FontRenderer,*,field_1310_c,*,*,*,fontDisplayLists,"*"
Material,*,field_1316_v,*,*,*,clay,"*"
Material,*,field_1317_u,*,*,*,cactus,"*"
NBTTagShort,*,field_1088_a,*,*,*,shortValue,"The short value for the tag."
NBTTagDouble,*,field_1089_a,*,*,*,doubleValue,"The double value for the tag."
NetworkMasterThread,*,field_1086_a,*,*,*,netManager,"Reference to the NetworkManager object."
NBTBase,*,field_1087_a,*,*,*,key,"The UTF string key used to lookup values."
NetworkReaderThread,*,field_1085_a,*,*,*,netManager,"Reference to the NetworkManager object."
SoundManager,*,field_589_c,*,*,*,soundPoolStreaming,"Sound pool containing streaming audio."
SoundManager,*,field_588_d,*,*,*,soundPoolMusic,"Sound pool containing music."
SoundManager,*,field_585_g,*,*,*,loaded,"Set to true when the SoundManager has been initialised."
SoundManager,*,field_584_h,*,*,*,rand,"RNG."
SoundManager,*,field_586_f,*,*,*,options,"A reference to the game settings."
Packet22Collect,*,field_581_a,*,*,*,collectedEntityId,"The entity on the ground that was picked up."
Packet22Collect,*,field_580_b,*,*,*,collectorEntityId,"The entity that picked up the one from the ground."
Packet255KickDisconnect,*,field_582_a,*,*,*,reason,"Displayed to the client when the connection terminates."
Minecraft,*,field_6304_y,*,*,*,gameSettings,"The game settings that currently hold effect."
Tessellator,*,field_1509_d,*,*,*,byteBuffer,"The byte buffer used for GL allocation."
Tessellator,*,field_1508_e,*,*,*,intBuffer,"The same memory as byteBuffer, but referenced as an integer buffer."
Item,*,field_4027_aL,*,*,*,minecartCrate,"*"
Minecraft,*,field_6301_A,*,*,*,sndManager,"*"
Item,*,field_4024_aP,*,*,*,fishingRod,"*"
UnexpectedThrowable,*,field_6515_a,*,*,*,description,"A description of the error that has occurred."
UnexpectedThrowable,*,field_6514_b,*,*,*,exception,"The Throwable object that was thrown."
TileEntityRenderer,*,field_6517_m,*,*,*,specialRendererMap,"A mapping of TileEntitySpecialRenderers used for each TileEntity that has one"
Item,*,field_4022_aR,*,*,*,lightStoneDust,"*"
Item,*,field_4020_aT,*,*,*,fishCooked,"*"
Item,*,field_291_aS,*,*,*,shiftedIndex,"Item index + 256"
Item,*,field_290_aT,*,*,*,maxStackSize,"Maximum size of the stack."
Item,*,field_293_aQ,*,*,*,record13,"*"
Item,*,field_296_aN,*,*,*,egg,"*"
Item,*,field_299_aK,*,*,*,slimeBall,"*"
BlockChest,*,field_457_a,*,*,*,random,""
BlockFurnace,*,field_456_a,*,*,*,isActive,"True if this is an active furnace, false if idle"
BlockSign,*,field_455_a,*,*,*,signEntityClass,"*"
BlockSign,*,field_454_b,*,*,*,isFreestanding,"Whether this is a freestanding sign or a wall-mounted sign"
BlockRedstoneWire,*,field_453_a,*,*,*,wiresProvidePower,"When false, power transmission methods do not look at other redstone wires.  Used internally during updateCurrentStrength."
BlockRedstoneTorch,*,field_451_a,*,*,*,torchActive,"Whether the redstone torch is currently active or not."
BlockRedstoneTorch,*,field_450_b,*,*,*,torchUpdates,"An array of when redstone torches became active.  Used for redstone torches to burn out."
EntityMinecart,*,field_857_h,*,*,*,cargoItems,"Array of item stacks stored in minecart (for storage minecarts)."
GuiIngame,*,field_929_e,*,*,*,chatMessageList,"A list with all the chat messages in."
Gui,*,field_923_k,*,*,*,zLevel,"*"
PlayerControllerSP,*,field_1071_f,*,*,*,curBlockDamage,""
PlayerControllerSP,*,field_1070_g,*,*,*,prevBlockDamage,""
ModelCreeper,*,field_1271_a,*,*,*,head,"*"
ModelCreeper,*,field_1270_b,*,*,*,unusedModel,"*"
ModelCreeper,*,field_1273_f,*,*,*,leg3,"*"
ModelCreeper,*,field_1272_g,*,*,*,leg4,"*"
ModelCreeper,*,field_1275_d,*,*,*,leg1,"*"
ModelCreeper,*,field_1274_e,*,*,*,leg2,"*"
ModelCreeper,*,field_1276_c,*,*,*,body,"*"
Pathfinder,*,field_1675_d,*,*,*,pathOptions,"Selection of path points to add to the path"
Pathfinder,*,field_1674_a,*,*,*,worldMap,"Used to find obstacles"
Pathfinder,*,field_1676_c,*,*,*,pointMap,"The points in the path"
GLAllocation,*,field_1671_a,*,*,*,displayLists,"An ArrayList that stores the first index and the length of each display list."
GLAllocation,*,field_1670_b,*,*,*,textureNames,"An ArrayList that stores all the generated texture names."
Pathfinder,*,field_1673_b,*,*,*,path,"The path being generated"
CanvasMajongLogo,*,field_1672_a,*,*,*,logo,"BufferedImage object containing the Majong logo."
ModelRenderer,*,field_1410_a,*,*,*,offsetX,"*"
TileEntitySignRenderer,*,field_1413_b,*,*,*,signModel,"The SignModel instance used by the TileEntitySignRenderer"
ChunkProviderGenerate,*,field_4179_v,*,*,*,biomesForGeneration,"The biomes that are used to generate the chunk"
ChunkProviderGenerate,*,field_4178_w,*,*,*,generatedTemperatures,"List of temperatures generated for this chunk, used for snowfall calculation."
